	vocation	link	min_salary	max_salary	currency	site_from
0	Старший разработчик python	https://russia.superjob.ru/vakansii/starshij-razrabotchik-python-40286074.html				https://russia.superjob.ru
1	Python Django fullstack разработчик	https://russia.superjob.ru/vakansii/python-django-fullstack-razrabotchik-39274896.html	200000.0	200000.0	руб.	https://russia.superjob.ru
2	QA-автоматизатор (python)	https://russia.superjob.ru/vakansii/qa-avtomatizator-39705235.html				https://russia.superjob.ru
3	Junior Python	https://russia.superjob.ru/vakansii/junior-python-39359235.html	25000.0	30000.0	руб.	https://russia.superjob.ru
4	Разработчик Python	https://russia.superjob.ru/vakansii/razrabotchik-python-40248418.html	100000.0	125000.0	руб.	https://russia.superjob.ru
5	Python backend developer	https://russia.superjob.ru/vakansii/python-backend-developer-39814546.html	80000.0	100000.0	руб.	https://russia.superjob.ru
6	Python Developer	https://russia.superjob.ru/vakansii/python-developer-39812948.html	350000.0	350000.0	руб.	https://russia.superjob.ru
7	Senior Automation Engineer (Python)	https://russia.superjob.ru/vakansii/senior-automation-engineer-40231557.html	200000.0	225000.0	руб.	https://russia.superjob.ru
8	Python backend-разработчик	https://russia.superjob.ru/vakansii/python-backend-razrabotchik-39781914.html				https://russia.superjob.ru
9	Python developer	https://russia.superjob.ru/vakansii/python-developer-40193841.html	230000.0	230000.0	руб.	https://russia.superjob.ru
10	Python Developer (научим Big Data)	https://russia.superjob.ru/vakansii/python-developer-39757648.html				https://russia.superjob.ru
11	Аналитик в отдел планирования (SQL, Python/R)	https://russia.superjob.ru/vakansii/analitik-v-otdel-planirovaniya-35583105.html				https://russia.superjob.ru
12	Python developer	https://russia.superjob.ru/vakansii/python-developer-39937020.html	120000.0	140000.0	руб.	https://russia.superjob.ru
13	Программист Python, Bakend Developer Python	https://russia.superjob.ru/vakansii/programmist-python-39857069.html	30000.0	30000.0	руб.	https://russia.superjob.ru
14	Разработчик Python Backend	https://russia.superjob.ru/vakansii/razrabotchik-python-backend-40015585.html	200000.0	200000.0	руб.	https://russia.superjob.ru
15	Senior Python разработчик	https://russia.superjob.ru/vakansii/senior-python-razrabotchik-39779427.html	350000.0	350000.0	руб.	https://russia.superjob.ru
16	ETL-разработчик	https://russia.superjob.ru/vakansii/etl-razrabotchik-39854765.html	180000.0	200000.0	руб.	https://russia.superjob.ru
17	Frontend-программист	https://russia.superjob.ru/vakansii/frontend-programmist-40102206.html				https://russia.superjob.ru
18	Специалист технической поддержки	https://russia.superjob.ru/vakansii/specialist-tehnicheskoj-podderzhki-39201863.html	70000.0	70000.0	руб.	https://russia.superjob.ru
19	Программист С++	https://russia.superjob.ru/vakansii/programmist-s-39854435.html	170000.0	200000.0	руб.	https://russia.superjob.ru
